Date,Close,High,Low,Open,Volume
2020-01-01,360.82342529296875,365.17417222514183,359.96149786151307,363.40925769065694,703692
2020-01-02,356.4316711425781,358.7301610093882,336.5660549515999,352.98391129070234,6011135
2020-01-03,353.0660705566406,361.11081162259114,349.7414390051519,355.40562052583664,2064472
2020-01-06,348.1405944824219,354.46145315794774,345.5958221356994,354.46145315794774,1385910
2020-01-07,347.23773193359375,356.8832244873047,345.51385165834205,353.39442930830285,1348267
2020-01-08,349.20782470703125,352.9018426518553,338.94666374918677,344.1183039029379,2234655
2020-01-09,354.092041015625,365.62557244824774,350.64428194842947,351.9987497778081,4565888
2020-01-10,380.40167236328125,386.43523872168356,356.2674319813291,357.1704189621201,11874641
2020-01-13,375.2711181640625,378.7188777578037,364.7637009143941,378.5957488548113,6260490
2020-01-14,380.64794921875,385.737468850314,373.17782075208356,375.968850879284,4594297
2020-01-15,381.14056396484375,383.39801944289707,372.4801538787955,376.7898416096245,2595325
2020-01-16,396.08074951171875,397.6404407170809,378.718872963143,381.14049153019886,5309590
2020-01-17,398.4613037109375,401.25233382555945,390.7859521069847,393.4538533293665,2823409
2020-01-20,391.1964416503906,401.74491881259127,388.3233169397649,398.95388838974384,1812624
2020-01-21,394.6852722167969,396.90169293222266,388.6517298112765,389.92410370797467,1520871
2020-01-22,400.2262878417969,402.77106061620174,389.84199858905833,393.20766419058344,1946491
2020-01-23,407.3680114746094,409.78965501436585,399.6105652656641,400.18520018916286,2704935
2020-01-24,408.5993957519531,419.2299676510458,403.5098503145896,404.7001549085141,3505214
2020-01-27,406.1367492675781,414.22254908394524,402.8942123957622,408.6404625117259,1719346
2020-01-28,404.9053955078125,410.4464222076153,400.5957080746325,406.13673477443535,1765727
2020-01-29,403.96136474609375,408.80462740989486,400.595699148652,404.90538648580446,1574731
2020-01-30,398.91290283203125,405.5210804585141,396.5322934519772,403.71510611192053,1237348
2020-01-31,389.5546875,403.0173501276507,382.20771160736405,399.4054015875524,1555460
2020-02-03,378.30853271484375,381.0585291927045,361.3160381037829,362.34215432300965,2382728
2020-02-04,391.6068420410156,396.90160983507263,381.9613530739792,384.7934428338993,2246049
2020-02-05,395.0545959472656,401.4165141157671,386.8456692782315,394.02848011363636,1409281
2020-02-06,402.03228759765625,405.31585911453345,393.2897834443031,397.9278232015597,1162166
2020-02-07,397.8047180175781,407.2860213176588,393.5771244476647,402.0323115874915,1453625
2020-02-10,394.6031494140625,402.2784764776418,390.53972033786073,398.62551882234465,1534833
2020-02-11,413.8531188964844,420.91280230728995,396.28601718935977,397.0658754054254,5591339
2020-02-12,414.46881103515625,421.11804838846456,403.96139216815595,418.65536974291797,3628016
2020-02-13,409.6666259765625,416.02854648348267,404.495010294829,414.3046912906817,2196961
2020-02-14,407.9837646484375,412.4986755248287,398.66662537500684,409.6665850453364,2800483
2020-02-17,388.7748718261719,413.7300102938831,373.50625929308893,411.2673316611814,7616530
2020-02-18,387.2561950683594,394.60319596525454,380.8942755945284,392.96141029458846,2419197
2020-02-19,406.4240417480469,408.3531448927633,389.226327082553,389.92409099255605,3305691
2020-02-20,402.8941955566406,411.7598532531527,401.00615204668617,405.110616243684,2532878
2020-02-24,390.1396179199219,401.5603818685318,387.6803943401991,400.05982961228045,1638322
2020-02-25,389.55609130859375,397.8090656619988,385.72140576144443,391.80690712141717,1559228
2020-02-26,385.1378479003906,398.18417900200586,382.63695278415435,387.63874301662696,2190693
2020-02-27,375.3844299316406,389.139356118136,372.17496750713275,387.5137891967151,1605979
2020-02-28,346.3739929199219,370.7993930748089,343.78972940090665,370.7993930748089,2896611
2020-03-02,343.41455078125,360.0038146773664,338.99628799859437,354.2934330796462,1881546
2020-03-03,360.0037841796875,363.46334996859906,344.62327215278583,354.2934030657216,2651898
2020-03-04,356.2108459472656,364.2970843106505,343.5396582789749,361.7128207297444,2898133
2020-03-05,353.5431823730469,364.2553539975885,348.7914718655324,356.16911694176025,2182586
2020-03-06,346.4156188964844,351.3757373459819,336.7871836008937,343.45623674150545,1613984
2020-03-09,334.8699035644531,341.53895795107564,318.9058342741366,335.9536147261099,2583135
2020-03-11,342.7060241699219,352.08438153959025,331.41029847375665,331.7854429447124,3293472
2020-03-12,300.732666015625,332.28563412156524,293.4383879071379,325.11639569256755,2889225
