Date,Close,High,Low,Open,Volume
2020-01-01,2088.21923828125,2137.3083649815503,2081.1436901407365,2129.7880258716973,1086480
2020-01-02,2043.2921142578125,2113.385720733845,2031.018793369258,2089.562383896485,2285820
2020-01-03,2004.357666015625,2049.450140334792,1996.8611137515488,2047.9414075187603,1572970
2020-01-06,1973.2552490234375,1995.915107953242,1961.8142372904429,1995.915107953242,1258710
2020-01-07,1967.896728515625,2019.5446772590574,1959.3833455979357,1981.726356951034,1371520
2020-01-08,1881.66552734375,1958.077889306927,1872.9535365837987,1958.077889306927,2892860
2020-01-09,1922.9744873046875,1939.1593596155988,1878.6197503397948,1914.376003256373,2592870
2020-01-10,1932.7978515625,1961.8615684347992,1915.5298706024328,1923.0783841021923,2169260
2020-01-13,1918.3487548828125,1948.6280262721978,1897.840912652946,1948.6185577212,1320920
2020-01-14,1938.184814453125,1946.6603218912337,1915.9838347106806,1917.4027316507281,1162260
2020-01-15,1950.9644775390625,1953.3482430227186,1920.2406456833505,1933.4836846190979,1079560
2020-01-16,2037.181396484375,2043.2117088194325,1953.3482308852444,1957.983202107847,2921950
2020-01-17,2014.095947265625,2059.2925754633634,1996.2509613557318,2034.6085242801391,1834850
2020-01-20,2020.9920654296875,2038.4728606171327,1986.929063768227,2022.401494090202,1005930
2020-01-21,1991.80517578125,2031.3876468257736,1983.646517595512,2020.3202958227414,1032360
2020-01-22,1995.915283203125,2012.9420486522513,1981.158660771101,2001.590871686167,786810
2020-01-23,1978.486328125,2004.9961929194556,1965.692698921637,1993.0773654674615,1059580
2020-01-24,1979.91015625,2003.0097269928717,1967.5372997143677,1984.5640648080496,770750
2020-01-27,1995.461181640625,2001.6665469142026,1965.1724404016668,1972.266925746077,971080
2020-01-28,1994.652587890625,2007.9286527189338,1974.6319117012995,2007.9286527189338,972770
2020-01-29,1910.0482177734375,2008.7799184510377,1901.3220241149966,2008.7799184510377,2869250
2020-01-30,1924.0528564453125,1946.7268041923871,1910.7814113064248,1910.7814113064248,1385590
2020-01-31,1919.2286376953125,1952.5631353756903,1911.8219209652775,1934.4297044190193,1021230
2020-02-03,1880.837890625,1927.3919863473302,1845.6682267935744,1849.0404167171175,1486370
2020-02-04,1845.7628173828125,1905.1010746749569,1839.8365434007374,1891.8627695637401,1500920
2020-02-05,1843.3411865234375,1872.9441509225471,1830.9542426926698,1864.6199085081687,1283330
2020-02-06,1928.86767578125,1952.553720058257,1821.9584880375119,1856.3904148775498,3945750
2020-02-07,1866.91845703125,1940.7626464148445,1860.334811919305,1939.159228145859,2224150
2020-02-10,1802.6849365234375,1878.1466304532262,1777.4049451632395,1878.1466304532262,2437470
2020-02-11,1798.14453125,1832.169652939527,1792.0668763627496,1820.917781471783,1295530
2020-02-12,1823.552490234375,1831.323284754105,1790.2508996807076,1797.2697525995866,1528370
2020-02-13,1830.8785400390625,1843.6202076556922,1813.4260372878955,1822.9042879235635,919630
2020-02-14,1769.2274169921875,1830.3771677726618,1750.4459684564913,1822.8097169498292,2318720
2020-02-17,1753.368896484375,1792.4217054420037,1745.252846895795,1787.8102900114188,1292680
2020-02-18,1774.6004638671875,1777.5895239822232,1734.8003305367988,1749.9731072931809,1806500
2020-02-19,1785.46435546875,1800.9539812837183,1769.894362439689,1788.2832124090157,1322670
2020-02-20,1782.9530029296875,1800.1074783363106,1754.1824620624793,1784.9631071816395,1249820
2020-02-24,1697.94189453125,1768.8914740211549,1683.7671283137577,1768.8914740211549,1928210
2020-02-25,1658.435302734375,1724.4329554964818,1638.4477674794528,1715.4466071271913,2568310
2020-02-26,1622.9296875,1664.839228079627,1611.4319793383809,1648.7583946265852,2151130
2020-02-27,1613.134765625,1631.5426708351206,1599.2012133319895,1623.9562818533625,2554810
2020-02-28,1570.4683837890625,1593.7052483751584,1543.4809335819282,1579.421592043072,3264550
2020-03-02,1609.35107421875,1682.1405728030707,1574.3138497968757,1576.4894229760582,3483700
2020-03-03,1692.12451171875,1706.5546988570184,1645.9205233605778,1655.3798367132247,2747400
2020-03-04,1632.1290283203125,1729.1626315801016,1595.7863016825117,1698.3252904566734,4186090
2020-03-05,1681.42626953125,1692.0822010275754,1623.3886646778853,1650.650357890741,2313750
2020-03-06,1678.4180908203125,1690.5213246529133,1591.2457549379576,1641.1909790474585,1707910
2020-03-09,1691.8740234375,1702.5820320651992,1612.354351887138,1617.4482019594127,1932250
2020-03-11,1679.36865234375,1727.9280008021174,1656.987884475491,1691.8738369637213,2219090
2020-03-12,1596.519287109375,1634.711264881661,1579.7053344821625,1608.0643375205789,3635550
2020-03-13,1671.6640625,1752.683106891566,1438.0048128489366,1504.030868220508,2794020
2020-03-16,1560.190673828125,1641.8293239203824,1547.543577207769,1596.2495696757994,1924950
2020-03-17,1613.8629150390625,1651.5961302914268,1570.2507688023218,1580.6512793338911,1675350
2020-03-18,1509.1531982421875,1650.6503113322171,1497.234370093703,1618.4981119267443,1589120
2020-03-19,1434.5302734375,1532.1156282644274,1416.0915280215693,1444.402723597142,1611810
2020-03-20,1494.785400390625,1525.346729598039,1379.1568653380714,1467.713552451422,2113350
2020-03-23,1306.7222900390625,1643.6638850475063,1270.5693862630994,1368.2262188533432,1443300
2020-03-24,1354.6402587890625,1387.6756382069045,1323.321048320978,1334.761864300698,1126980
2020-03-25,1384.014404296875,1411.0337614390985,1306.6363311164087,1306.6363311164087,761180
2020-03-26,1407.0247802734375,1445.9282514642857,1382.4317541698467,1394.8259698968866,2048910
2020-03-27,1365.25146484375,1467.856499819254,1334.7617123499035,1453.2695309349067,1106270
2020-03-30,1271.1796875,1344.1053519066443,1248.9558448102794,1344.1053519066443,2263090
2020-03-31,1248.564697265625,1303.8858274912936,1234.6546057614162,1302.2507769517013,1672550
2020-04-01,1239.57421875,1269.835165528549,1213.203107227166,1248.5647274866176,1387180
2020-04-03,1208.91748046875,1248.946015461338,1201.2854992882308,1245.1419540241504,1806810
2020-04-07,1248.5789794921875,1259.6336386479338,1186.9940559437389,1246.1716181480251,2405590
2020-04-08,1254.532958984375,1301.3926517353448,1220.3535488800303,1239.4215730812807,2799990
2020-04-09,1310.1927490234375,1339.161859026662,1254.9240994117995,1277.5578386759914,3618730
2020-04-13,1277.610107421875,1309.0198590218688,1268.500307668315,1309.0198590218688,1266210
2020-04-15,1269.444091796875,1322.5532611230224,1251.1197495693407,1296.6255679773105,2755930
2020-04-16,1274.826171875,1290.3189419705193,1243.4258462826663,1269.4537465959334,2501460
2020-04-17,1408.20703125,1427.9996502768113,1298.437170317056,1311.8801045068992,5656840
2020-04-20,1355.2073974609375,1411.0672608587806,1340.5107962358272,1408.2070570900755,2999770
2020-04-21,1286.614990234375,1333.331651606353,1282.324684598173,1330.485762833511,1656250
2020-04-22,1306.474365234375,1329.5133449564119,1258.4897195668918,1286.6150579966065,2765770
2020-04-23,1341.2781982421875,1358.596769034964,1307.1131019978495,1315.6937131707018,2072670
2020-04-24,1295.5960693359375,1343.4376789161374,1287.5779322316014,1341.2449258689962,1799440
2020-04-27,1334.714111328125,1353.8298540597243,1317.1143604675872,1325.4184485977853,1836150
2020-04-28,1365.923828125,1371.4678009460356,1344.3435799027868,1345.249264605392,1846940
2020-04-29,1364.865478515625,1377.6649380744102,1346.731882766349,1373.8417893855262,1477410
2020-04-30,1402.2579345703125,1420.5679650001955,1373.0885327715512,1390.0782094463443,3472310
2020-05-04,1310.812255859375,1371.944336584061,1297.9938278420323,1371.944336584061,1924440
2020-05-05,1316.73779296875,1350.2928182334604,1302.9182452297691,1334.761873195256,1524890
2020-05-06,1321.4093017578125,1351.4843847419113,1296.6256420274278,1318.0771691933228,1871230
2020-05-07,1335.7630615234375,1344.7726580893482,1307.3898268993437,1321.4095524156494,1270450
