Date,Close,High,Low,Open,Volume
2020-01-01,1944.1392822265625,1960.1470587201045,1873.2472285716813,1879.7810521007482,94927
2020-01-02,1946.7523193359375,1960.1467465902954,1937.93170455261,1960.1467465902954,33488
2020-01-03,1955.1531982421875,1960.1469972211103,1941.4322148379742,1954.54657722905,18082
2020-01-06,1950.39306640625,1960.1470860916552,1933.5918056683215,1960.1470860916552,50389
2020-01-07,1976.1551513671875,1983.4824600782808,1952.8200636015606,1955.4803547595286,360489
2020-01-08,1982.5950927734375,1983.9484818236185,1932.0511732682846,1966.587091324024,101795
2020-01-09,2005.930419921875,2006.8171074860588,1977.7416856628226,1983.482024840872,104135
2020-01-10,2107.485107421875,2145.70793378841,1997.4834177718062,2006.8174524342912,266354
2020-01-13,2183.69677734375,2193.4975109031043,2126.2924807818176,2130.9127810263285,231850
2020-01-14,2169.042236328125,2194.430755855703,2092.036478200479,2188.3636355183735,160556
2020-01-15,2208.152099609375,2244.834894184227,2154.0147092298803,2154.0147092298803,159401
2020-01-16,2205.305419921875,2216.833042897617,2186.777499429195,2198.025055812655,85579
2020-01-17,2182.484130859375,2216.8334270100227,2175.763670888574,2205.3058020368803,76445
2020-01-20,2202.225341796875,2228.547271369697,2188.17757544058,2228.547271369697,72290
2020-01-21,2199.891357421875,2215.945846406437,2166.9421798688404,2202.784770526543,127081
2020-01-22,2203.625,2212.165547988313,2186.8237426735063,2202.924947611396,47447
2020-01-23,2174.549560546875,2207.498741675488,2156.161561636523,2205.7718544669683,57972
2020-01-24,2190.651123046875,2193.4980490698795,2168.3428723388,2181.36380454311,45894
2020-01-27,2200.125244140625,2229.6206548361665,2170.1629038636383,2193.4979888514194,67100
2020-01-28,2169.78955078125,2221.500005986413,2159.1953314487687,2213.846143979098,29306
2020-01-29,2146.734130859375,2192.564323451577,2102.1641238586035,2183.2770063125654,80168
2020-01-30,2142.954345703125,2160.1288775805783,2125.359599978817,2160.1288775805783,32387
2020-01-31,2237.974609375,2240.2616300497134,2128.9532726839902,2156.3018104693333,131984
2020-02-03,2218.326904296875,2235.5014379703475,2195.8785039885115,2221.500385122934,49486
