Date,Close,High,Low,Open,Volume
2020-01-01,251.1308135986328,256.18901885703985,249.02322569213064,253.56625423001117,6952048
2020-01-02,258.95233154296875,259.467508301951,254.36245022406794,254.78397927122987,10780926
2020-01-03,255.20547485351562,258.9522975867749,253.6130637574849,258.9522975867749,5943349
2020-01-06,247.5244903564453,253.61307763105987,245.69790273966476,253.37890119742084,4529599
2020-01-07,248.46119689941406,253.05104929647467,246.44728528076394,249.30422634605938,4465297
2020-01-08,245.88523864746094,247.75864998953682,240.73335745675223,244.8548566921215,8088132
2020-01-09,260.49786376953125,261.52824576813,250.75613009893965,250.75613009893965,13317832
2020-01-10,260.31048583984375,262.27757335722026,257.59404526155566,260.40416211895445,7625227
2020-01-13,260.9662170410156,262.183923032036,257.96874732867207,260.45101174789954,4540953
2020-01-14,263.1206359863281,266.0244294902152,260.4041950643656,260.4041950643656,7428691
2020-01-15,264.6194152832031,265.46244487133106,258.76500344065437,262.13715037916154,5538475
2020-01-16,259.8890380859375,264.94724373625854,258.67130338290195,264.61939098598003,4791447
2020-01-17,256.04852294921875,261.8560814582736,255.5801700733599,259.2801406410501,4733742
2020-01-20,254.17510986328125,257.5940801185659,251.64599291499357,256.18902149973735,3823115
2020-01-21,250.33460998535156,253.7535802324061,247.61816904602014,252.91055078033645,4799667
2020-01-22,249.02320861816406,252.25482603496792,247.9928266617673,251.31812036296878,3334351
2020-01-23,249.7725830078125,251.9270233886121,247.38399477504674,249.1637299863223,3529142
2020-01-24,254.69027709960938,256.56368852157925,248.50801368991077,249.81942455408148,5991335
2020-01-27,246.16622924804688,249.07002243143754,241.95105389389548,248.64852204761482,17151836
2020-01-28,239.09413146972656,245.18271855906337,235.67516135983533,244.2928367039183,11168567
2020-01-29,244.71437072753906,247.85234062440122,241.95107740358802,242.60678284567507,7832991
2020-01-30,240.68653869628906,245.51056728692836,239.09412758746174,244.7611855826612,5511254
2020-01-31,234.83213806152344,242.60679895616977,233.33341737736015,241.81059331961714,6329214
2020-02-03,235.5814971923828,236.98655582374892,228.3220275969913,229.96126266691843,7021154
2020-02-04,241.99795532226562,243.2625139017319,232.95873554581394,237.2207499031671,5839343
2020-02-05,252.2080078125,254.4560957582548,240.12451009132735,243.07512730675487,7218905
2020-02-06,258.95233154296875,259.9358612050231,250.8029795951169,253.94094976289858,8567243
2020-02-07,261.6218566894531,262.2775620289197,255.48644658352802,257.9687106498189,5258442
2020-02-10,260.31048583984375,262.0902207989989,255.90798658151112,258.5307508806886,4972983
2020-02-11,270.47381591796875,274.92316873393537,260.96625719683897,262.3244635364323,10958494
2020-02-12,275.1105041503906,276.7028868544888,270.23962256916644,270.38012272158795,9119052
2020-02-13,274.7826232910156,275.9535054180559,270.14591863354025,273.7054174513364,6220243
2020-02-14,270.8484802246094,277.9674501235743,270.05227456602904,273.14342090181276,6086218
2020-02-17,269.9117431640625,272.4876838526742,267.2421261877579,270.8484488690122,6084235
2020-02-18,266.7738037109375,270.84847970862137,263.30800935959167,270.70797955407903,5463097
2020-02-19,263.0738220214844,271.6446741258428,262.1839401028824,269.0219093962658,4952306
2020-02-20,263.9636535644531,267.75732878292155,259.4674776603305,262.93330016816736,6960354
2020-02-24,242.5599822998047,260.35739279002576,239.7966887103469,260.35739279002576,10565578
2020-02-25,245.97894287109375,249.91308998471712,242.0447671714786,247.29032524230152,9928181
2020-02-26,244.29283142089844,247.00930077849463,239.37514086347002,239.7966555634788,8111249
2020-02-27,236.14352416992188,242.6067880970069,232.5840394782393,242.6067880970069,10258174
2020-02-28,220.78152465820312,229.96124312844668,217.9245694918985,229.96124312844668,10723581
2020-03-02,220.1258544921875,230.89797077584774,216.23853128963012,226.87013313292348,10865535
2020-03-03,230.85110473632812,233.33338328626348,223.54479780290512,224.10682691047379,11580274
2020-03-04,230.05494689941406,233.052402557847,221.85877126690434,230.94481453805878,10790561
2020-03-05,231.50680541992188,236.75236299780295,228.88404092397585,232.95870209710276,7130730
2020-03-06,223.68531799316406,224.80936194428662,213.756232123427,220.12583357044733,6850161
2020-03-09,214.55245971679688,216.98788614572027,210.85247477976242,214.55245971679688,7888019
2020-03-11,209.35372924804688,214.0372578665714,206.1689355046482,212.63219928101404,10073347
2020-03-12,190.33860778808594,200.73604745301157,186.45128459689963,196.7082098218694,14115039
2020-03-13,201.29806518554688,204.15502065584158,164.11084880338763,176.1006855733648,12883941
2020-03-16,174.22726440429688,194.0385847201681,170.0589267973092,189.2145559659568,15167108
2020-03-17,165.28170776367188,181.2525418271996,164.06398756979993,176.94369015442007,14096871
2020-03-18,153.94761657714844,169.68426387379495,146.54763157425174,168.6538959850607,18951014
2020-03-19,152.96405029296875,158.0222555748251,142.09825798520916,147.8121687198577,12583063
2020-03-20,164.6260223388672,167.76399206650706,154.22858363184628,156.4298476847273,7449415
2020-03-23,135.2602996826172,153.8539138637094,127.48565367367196,148.18684142291596,7422941
2020-03-24,137.78941345214844,145.1893827254748,131.46665001087777,139.8033249792072,6487043
2020-03-25,142.19192504882812,146.12608604529487,133.52739751088595,135.82232356774205,4384700
2020-03-26,140.3185272216797,147.48432064585364,135.35398378147622,141.44257128721736,8021131
2020-03-27,141.86407470703125,146.54760318394213,136.94636980627484,142.47294198482643,6108830
2020-03-30,133.38690185546875,139.0539748742832,127.86034328419304,139.0539748742832,11851157
2020-03-31,136.99322509765625,142.753960128154,135.35398992554755,136.7122104952669,9965197
2020-04-01,133.94891357421875,136.71219249914392,130.24892895996337,136.71219249914392,5967565
2020-04-03,131.79449462890625,138.77294952639755,124.11351042711054,134.18309712214025,18559602
2020-04-07,148.0931854248047,149.73242049430698,136.24384906089085,138.67928973849246,16440328
2020-04-08,144.81471252441406,159.94250444587405,142.5197720364753,145.1893891016719,15245833
2020-04-09,155.77415466308594,159.23996275864587,147.99949479921204,148.9362004624982,15243084
2020-04-13,157.0386962890625,161.48804812043582,150.9501095724464,156.89819615895354,11554655
2020-04-15,160.55136108398438,163.8766693809977,155.35265556536703,159.2399787409629,17616485
2020-04-16,159.84884643554688,163.54884595083124,156.80455244494374,158.5843021229406,10428942
2020-04-17,166.0779266357422,168.46652907489232,159.56782475519202,163.92350062605786,10104852
2020-04-20,156.89820861816406,171.41714732611356,155.58682632303115,171.41714732611356,12629035
2020-04-21,149.4982452392578,153.9944214596601,146.87546624869273,153.61974487229176,10887919
2020-04-22,150.99696350097656,152.68303670354115,145.65774360368493,147.99950797030368,7765209
2020-04-23,149.82606506347656,155.77415162659582,148.65518300719276,152.12099103519404,7114946
2020-04-24,143.55015563964844,149.4045665548054,142.94130262167027,147.53115506195516,8447036
2020-04-27,147.3438262939453,150.48178217147498,145.18940007933017,146.1261058862936,9745004
2020-04-28,149.31088256835938,150.1539262724937,147.0627946099905,149.31088256835938,8025743
2020-04-29,153.71339416503906,155.86780560346622,148.93618990375896,150.62226283673976,11842945
2020-04-30,169.2158966064453,176.75638113515433,156.89822108613527,157.92860318061582,16023589
2020-05-04,153.19822692871094,160.12984370077498,152.07418289715937,160.12984370077498,10646028
2020-05-05,153.52606201171875,160.78553135216478,152.4956942940331,156.8982083257691,12995347
2020-05-06,155.30581665039062,158.58428678471674,152.82353783003214,155.02480206599213,8720744
