Symbol,Company,Industry,Close,200DMA,Status,Difference %
CUB,City Union Bank Ltd.,Financial Services,136.65,124.81,Above,9.49
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,198.97,181.73,Above,9.49
COFORGE,Coforge Ltd.,Information Technology,1650.88,1508.66,Above,9.43
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,16065.85,14682.07,Above,9.42
GRSE,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,1808.6,1654.74,Above,9.3
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,2751.08,2518.51,Above,9.23
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,721.83,661.74,Above,9.08
MEDANTA,Global Health Ltd.,Healthcare,1226.66,1126.35,Above,8.91
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,1966.58,1805.74,Above,8.91
FORTIS,Fortis Healthcare Ltd.,Healthcare,675.85,621.0,Above,8.83
ASAHIINDIA,Asahi India Glass Ltd.,Automobile and Auto Components,740.44,680.7,Above,8.78
HDFCLIFE,HDFC Life Insurance Company Ltd.,Financial Services,729.97,672.15,Above,8.6
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,1127.63,1038.66,Above,8.57
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,1799.86,1658.07,Above,8.55
HOMEFIRST,Home First Finance Company India Ltd.,Financial Services,1161.26,1070.73,Above,8.45
HDFCAMC,HDFC Asset Management Company Ltd.,Financial Services,2175.26,2010.1,Above,8.22
PAGEIND,Page Industries Ltd.,Textiles,46193.47,42817.27,Above,7.89
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,1424.2,1320.28,Above,7.87
M&M,Mahindra & Mahindra Ltd.,Automobile and Auto Components,3047.95,2832.81,Above,7.59
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,875.0,813.36,Above,7.58
AXISBANK,Axis Bank Ltd.,Financial Services,1201.97,1120.01,Above,7.32
INDUSTOWER,Indus Towers Ltd.,Telecommunication,397.4,370.58,Above,7.24
MCX,Multi Commodity Exchange of India Ltd.,Financial Services,1207.69,1126.73,Above,7.18
GODREJIND,Godrej Industries Ltd.,Diversified,1122.8,1047.89,Above,7.15
UNIONBANK,Union Bank of India,Financial Services,120.36,112.34,Above,7.14
INTELLECT,Intellect Design Arena Ltd.,Information Technology,891.26,832.57,Above,7.05
IEX,Indian Energy Exchange Ltd.,Financial Services,188.19,175.83,Above,7.03
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,950.66,889.02,Above,6.93
PERSISTENT,Persistent Systems Ltd.,Information Technology,5839.75,5472.48,Above,6.71
AAVAS,Aavas Financiers Ltd.,Financial Services,1874.9,1758.92,Above,6.59
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,1547.86,1453.23,Above,6.51
ERIS,Eris Lifesciences Ltd.,Healthcare,1397.4,1311.96,Above,6.51
AMBER,Amber Enterprises India Ltd.,Consumer Durables,6237.0,5861.86,Above,6.4
MAPMYINDIA,C.E. Info Systems Ltd.,Information Technology,1976.64,1861.2,Above,6.2
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,1349.82,1271.83,Above,6.13
GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,2619.79,2471.56,Above,6.0
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,3701.15,3497.87,Above,5.81
GMRAIRPORT,GMR Airports Ltd.,Services,88.06,83.31,Above,5.7
JUBLFOOD,Jubilant Foodworks Ltd.,Consumer Services,694.89,657.5,Above,5.69
TITAN,Titan Company Ltd.,Consumer Durables,3552.21,3361.14,Above,5.68
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,537.17,508.57,Above,5.62
GRASIM,Grasim Industries Ltd.,Construction Materials,2732.86,2588.27,Above,5.59
INDIANB,Indian Bank,Financial Services,546.2,517.77,Above,5.49
MARUTI,Maruti Suzuki India Ltd.,Automobile and Auto Components,12480.91,11837.45,Above,5.44
HAL,Hindustan Aeronautics Ltd.,Capital Goods,4388.34,4165.54,Above,5.35
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,635.58,603.37,Above,5.34
BRITANNIA,Britannia Industries Ltd.,Fast Moving Consumer Goods,5535.95,5259.95,Above,5.25
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,2806.19,2667.36,Above,5.21
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,5915.07,5623.71,Above,5.18
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,205.54,195.52,Above,5.13
LODHA,Lodha Developers Ltd.,Realty,1301.11,1238.31,Above,5.07
HEG,H.E.G. Ltd.,Capital Goods,461.66,439.5,Above,5.04
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,2108.94,2008.87,Above,4.98
IDFCFIRSTB,IDFC First Bank Ltd.,Financial Services,68.85,65.77,Above,4.7
AEGISLOG,Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,808.77,773.64,Above,4.54
GODREJCP,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,1261.79,1210.11,Above,4.27
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,1002.5,961.61,Above,4.25
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,650.06,624.74,Above,4.05
KFINTECH,Kfin Technologies Ltd.,Financial Services,1110.47,1068.02,Above,3.97
ABBOTINDIA,Abbott India Ltd.,Healthcare,29652.02,28528.21,Above,3.94
JYOTICNC,Jyoti CNC Automation Ltd.,Capital Goods,1175.7,1132.99,Above,3.77
BERGEPAINT,Berger Paints India Ltd.,Consumer Durables,537.34,517.85,Above,3.76
TATASTEEL,Tata Steel Ltd.,Metals & Mining,145.18,139.98,Above,3.72
BPCL,Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,290.08,279.82,Above,3.66
CHALET,Chalet Hotels Ltd.,Consumer Services,868.99,839.42,Above,3.52
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,11662.08,11270.13,Above,3.48
INDHOTEL,Indian Hotels Co. Ltd.,Consumer Services,763.49,737.92,Above,3.47
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,554.1,535.9,Above,3.4
LEMONTREE,Lemon Tree Hotels Ltd.,Consumer Services,138.03,133.5,Above,3.39
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,2378.86,2301.55,Above,3.36
AADHARHFC,Aadhar Housing Finance Ltd.,Financial Services,441.65,427.45,Above,3.32
FSL,Firstsource Solutions Ltd.,Services,337.19,326.62,Above,3.24
ASHOKLEY,Ashok Leyland Ltd.,Capital Goods,110.97,107.55,Above,3.18
GICRE,General Insurance Corporation of India,Financial Services,402.84,390.7,Above,3.11
WOCKPHARMA,Wockhardt Ltd.,Healthcare,1270.0,1231.81,Above,3.1
CRISIL,CRISIL Ltd.,Financial Services,4933.18,4795.36,Above,2.87
ABDL,Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,346.19,336.7,Above,2.82
POLYMED,Poly Medicure Ltd.,Healthcare,2476.85,2409.86,Above,2.78
HINDPETRO,Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,374.96,365.56,Above,2.57
VTL,Vardhman Textiles Ltd.,Textiles,476.37,464.66,Above,2.52
